Key,incident_nb,DateTime_Out
Caserne 09 Grid1_0,16,2017-01-01
Caserne 09 Grid1_0,21,2018-01-01
Caserne 09 Grid1_0,17,2019-01-01
Caserne 09 Grid1_0,28,2020-01-01
Caserne 09 Grid1_0,27,2021-01-01
Caserne 09 Grid1_0,13,2022-01-01
Caserne 09 Grid1_1,38,2015-01-01
Caserne 09 Grid1_1,35,2016-01-01
Caserne 09 Grid1_1,31,2017-01-01
Caserne 09 Grid1_1,51,2018-01-01
Caserne 09 Grid1_1,45,2019-01-01
Caserne 09 Grid1_1,39,2020-01-01
Caserne 09 Grid1_1,51,2021-01-01
Caserne 09 Grid1_1,17,2022-01-01
Caserne 09 Grid1_2,5,2015-01-01
Caserne 09 Grid1_2,5,2016-01-01
Caserne 09 Grid1_2,7,2017-01-01
Caserne 09 Grid1_2,1,2018-01-01
Caserne 09 Grid1_2,2,2019-01-01
Caserne 09 Grid1_2,3,2020-01-01
Caserne 09 Grid1_2,3,2021-01-01
Caserne 09 Grid1_3,2,2015-01-01
Caserne 09 Grid1_3,1,2016-01-01
Caserne 09 Grid1_3,2,2017-01-01
Caserne 09 Grid1_3,6,2018-01-01
Caserne 09 Grid1_3,3,2019-01-01
Caserne 09 Grid1_3,6,2020-01-01
Caserne 09 Grid1_3,1,2021-01-01
Caserne 09 Grid1_3,2,2022-01-01
Caserne 09 Grid2_0,32,2015-01-01
Caserne 09 Grid2_0,26,2016-01-01
Caserne 09 Grid2_0,41,2017-01-01
Caserne 09 Grid2_0,32,2018-01-01
Caserne 09 Grid2_0,28,2019-01-01
Caserne 09 Grid2_0,28,2020-01-01
Caserne 09 Grid2_0,31,2021-01-01
Caserne 09 Grid2_0,16,2022-01-01
Caserne 09 Grid2_1,17,2015-01-01
Caserne 09 Grid2_1,23,2016-01-01
Caserne 09 Grid2_1,34,2017-01-01
Caserne 09 Grid2_1,32,2018-01-01
Caserne 09 Grid2_1,17,2019-01-01
Caserne 09 Grid2_1,12,2020-01-01
Caserne 09 Grid2_1,29,2021-01-01
Caserne 09 Grid2_1,14,2022-01-01
Caserne 09 Grid2_2,52,2015-01-01
Caserne 09 Grid2_2,67,2016-01-01
Caserne 09 Grid2_2,48,2017-01-01
Caserne 09 Grid2_2,57,2018-01-01
Caserne 09 Grid2_2,74,2019-01-01
Caserne 09 Grid2_2,51,2020-01-01
Caserne 09 Grid2_2,35,2021-01-01
Caserne 09 Grid2_2,21,2022-01-01
Caserne 09 Grid2_3,12,2015-01-01
Caserne 09 Grid2_3,10,2016-01-01
Caserne 09 Grid2_3,10,2017-01-01
Caserne 09 Grid2_3,8,2018-01-01
Caserne 09 Grid2_3,5,2019-01-01
Caserne 09 Grid2_3,15,2020-01-01
Caserne 09 Grid2_3,9,2021-01-01
Caserne 09 Grid2_3,4,2022-01-01
Caserne 09 Grid3_1,27,2015-01-01
Caserne 09 Grid3_1,34,2016-01-01
Caserne 09 Grid3_1,29,2017-01-01
Caserne 09 Grid3_1,30,2018-01-01
Caserne 09 Grid3_1,15,2019-01-01
Caserne 09 Grid3_1,29,2020-01-01
Caserne 09 Grid3_1,26,2021-01-01
Caserne 09 Grid3_1,20,2022-01-01
Caserne 09 Grid3_2,61,2015-01-01
Caserne 09 Grid3_2,53,2016-01-01
Caserne 09 Grid3_2,64,2017-01-01
Caserne 09 Grid3_2,59,2018-01-01
Caserne 09 Grid3_2,67,2019-01-01
Caserne 09 Grid3_2,59,2020-01-01
Caserne 09 Grid3_2,50,2021-01-01
Caserne 09 Grid3_2,28,2022-01-01
Caserne 09 Grid3_3,14,2015-01-01
Caserne 09 Grid3_3,29,2016-01-01
Caserne 09 Grid3_3,28,2017-01-01
Caserne 09 Grid3_3,30,2018-01-01
Caserne 09 Grid3_3,28,2019-01-01
Caserne 09 Grid3_3,23,2020-01-01
Caserne 09 Grid3_3,49,2021-01-01
Caserne 09 Grid3_3,15,2022-01-01
Caserne 09 Grid4_1,2,2015-01-01
Caserne 09 Grid4_1,2,2016-01-01
Caserne 09 Grid4_1,1,2017-01-01
Caserne 09 Grid4_1,6,2019-01-01
Caserne 09 Grid4_1,4,2021-01-01
Caserne 09 Grid4_2,29,2015-01-01
Caserne 09 Grid4_2,40,2016-01-01
