Key,Sum_Population,Sum_Pop__Densi,Sum_Income___T,Sum_Housing___,Sum_Education_
Caserne 25 Grid2_1,6674,18706.6,6110,3940,6205
Caserne 25 Grid2_2,12950,93184.6,11245,7390,11220
Caserne 26 Grid0_0,14275,343772.4,12490,7965,12590
Caserne 26 Grid0_1,2642,75425.7,2300,1440,2285
Caserne 26 Grid1_0,17311,430261,14530,9165,14465
Caserne 26 Grid1_1,5555,160905.4,4505,2705,4700
Caserne 26 Grid2_0,6763,176072.6,5740,3805,5780
Caserne 26 Grid2_1,2439,87930.1,2105,1395,2160
Caserne 27 Grid0_0,8079,114251.1,6325,3305,6225
Caserne 27 Grid0_1,12361,331209.1,9900,5180,9725
Caserne 27 Grid0_2,3494,100518,2615,1235,2555
Caserne 27 Grid1_0,19819,444340.8,15395,8300,15235
Caserne 27 Grid1_1,17669,479363.4,14100,8335,14495
Caserne 27 Grid1_2,19285,375425.1,15370,9340,15675
Caserne 27 Grid1_3,4356,76913.5,3490,1895,3470
Caserne 27 Grid2_0,6109,75878,4410,2445,4610
Caserne 27 Grid2_1,5528,91654.6,4020,2345,4315
Caserne 27 Grid2_2,10686,171502.4,8400,5435,8610
Caserne 27 Grid2_3,6671,44902.2,5865,3535,5780
Caserne 27 Grid3_1,1124,635.5,975,535,1010
Caserne 27 Grid3_2,5,3.8,,,
Caserne 28 Grid0_1,4245,3421.4,3075,1505,3135
Caserne 28 Grid0_2,3660,2669.3,2660,1320,2655
Caserne 28 Grid0_3,1517,1470.5,1180,615,1215
Caserne 28 Grid1_0,3366,4020,2690,1195,2760
Caserne 28 Grid1_1,2179,1547.1,1700,770,1720
Caserne 28 Grid1_2,3827,25255.7,3180,1640,3265
Caserne 28 Grid1_3,8219,83783.4,6885,3750,6910
Caserne 28 Grid2_0,1559,949.6,1300,545,1290
Caserne 28 Grid2_1,864,137.2,720,320,710
Caserne 28 Grid2_2,1265,8304.2,1045,460,1085
Caserne 28 Grid2_3,9440,98613.7,7955,4445,7840
Caserne 28 Grid2_4,3481,14282.7,2990,1800,3015
Caserne 28 Grid3_0,864,137.2,720,320,710
Caserne 28 Grid3_1,3663,32291.5,2960,1455,2965
Caserne 28 Grid3_2,12850,200103.1,10145,4995,10020
Caserne 28 Grid3_3,11265,133932,8875,4930,8795
Caserne 28 Grid3_4,10193,127751,8390,5085,8395
Caserne 28 Grid4_0,2332,1064.1,1855,950,1800
