Key,incident_nb,DateTime_Out
Caserne 03 Grid0_1,1,2016-07-24
Caserne 03 Grid0_1,2,2016-08-11
Caserne 03 Grid0_1,2,2016-08-12
Caserne 03 Grid0_1,1,2016-08-13
Caserne 03 Grid0_1,1,2016-08-28
Caserne 03 Grid0_1,1,2016-08-29
Caserne 03 Grid0_1,1,2016-09-02
Caserne 03 Grid0_1,1,2016-09-03
Caserne 03 Grid0_1,1,2016-09-09
Caserne 03 Grid0_1,1,2016-09-14
Caserne 03 Grid0_1,1,2016-09-15
Caserne 03 Grid0_1,1,2016-09-28
Caserne 03 Grid0_1,1,2016-10-16
Caserne 03 Grid0_1,1,2016-10-19
Caserne 03 Grid0_1,2,2016-11-05
Caserne 03 Grid0_1,1,2016-11-08
Caserne 03 Grid0_1,1,2016-11-09
Caserne 03 Grid0_1,1,2016-11-30
Caserne 03 Grid0_1,1,2016-12-18
Caserne 03 Grid0_1,1,2016-12-19
Caserne 03 Grid0_1,1,2016-12-26
Caserne 03 Grid0_1,1,2017-01-07
Caserne 03 Grid0_1,1,2017-01-23
Caserne 03 Grid0_1,1,2017-01-28
Caserne 03 Grid0_1,1,2017-01-31
Caserne 03 Grid0_1,1,2017-02-02
Caserne 03 Grid0_1,1,2017-02-12
Caserne 03 Grid0_1,1,2017-03-04
Caserne 03 Grid0_1,1,2017-03-22
Caserne 03 Grid0_1,1,2017-03-26
Caserne 03 Grid0_1,1,2017-04-16
Caserne 03 Grid0_1,1,2017-05-05
Caserne 03 Grid0_1,1,2017-05-29
Caserne 03 Grid0_1,1,2017-06-07
Caserne 03 Grid0_1,1,2017-06-14
Caserne 03 Grid0_1,1,2017-06-15
Caserne 03 Grid0_1,2,2017-06-16
Caserne 03 Grid0_1,1,2017-06-17
Caserne 03 Grid0_1,1,2017-06-19
Caserne 03 Grid0_1,2,2017-07-09
Caserne 03 Grid0_1,1,2017-07-28
Caserne 03 Grid0_1,1,2017-07-30
Caserne 03 Grid0_1,1,2017-07-31
Caserne 03 Grid0_1,1,2017-08-11
