incident_nb,quarter,Key,Right_Key,Crime_nb,Right_quarter,CATEGORIE
6,2016 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2016 Q2,Vol de véhicule à moteur
17,2016 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2016 Q3,Introduction
17,2016 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2016 Q3,Méfait
17,2016 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2016 Q3,Vol dans / sur véhicule à moteur
17,2016 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2016 Q3,Vol de véhicule à moteur
17,2016 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2016 Q3,Vols qualifiés
10,2016 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2016 Q4,Introduction
10,2016 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2016 Q4,Méfait
10,2016 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2016 Q4,Vol dans / sur véhicule à moteur
10,2016 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2016 Q4,Vol de véhicule à moteur
10,2016 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2016 Q4,Vols qualifiés
9,2017 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,6,2017 Q1,Introduction
9,2017 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2017 Q1,Méfait
9,2017 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2017 Q1,Vol dans / sur véhicule à moteur
9,2017 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2017 Q1,Vol de véhicule à moteur
9,2017 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2017 Q1,Vols qualifiés
10,2017 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,6,2017 Q2,Introduction
10,2017 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,5,2017 Q2,Méfait
10,2017 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2017 Q2,Vol dans / sur véhicule à moteur
10,2017 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2017 Q2,Vol de véhicule à moteur
13,2017 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2017 Q3,Introduction
13,2017 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2017 Q3,Méfait
13,2017 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2017 Q3,Vol dans / sur véhicule à moteur
13,2017 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2017 Q3,Vols qualifiés
12,2017 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,9,2017 Q4,Introduction
12,2017 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2017 Q4,Méfait
12,2017 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2017 Q4,Vol dans / sur véhicule à moteur
12,2017 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2017 Q4,Vols qualifiés
11,2018 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,5,2018 Q1,Introduction
11,2018 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2018 Q1,Vols qualifiés
12,2018 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,6,2018 Q2,Introduction
12,2018 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2018 Q2,Méfait
12,2018 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,5,2018 Q2,Vol dans / sur véhicule à moteur
12,2018 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2018 Q2,Vol de véhicule à moteur
7,2018 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2018 Q3,Introduction
7,2018 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2018 Q3,Méfait
7,2018 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2018 Q3,Vol dans / sur véhicule à moteur
7,2018 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2018 Q3,Vol de véhicule à moteur
6,2018 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,5,2018 Q4,Introduction
6,2018 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2018 Q4,Méfait
6,2018 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2018 Q4,Vol dans / sur véhicule à moteur
6,2018 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2018 Q4,Vol de véhicule à moteur
15,2019 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2019 Q1,Introduction
15,2019 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2019 Q1,Méfait
15,2019 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2019 Q1,Vol dans / sur véhicule à moteur
15,2019 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2019 Q1,Vol de véhicule à moteur
11,2019 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2019 Q2,Introduction
11,2019 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,5,2019 Q2,Méfait
11,2019 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2019 Q2,Vol dans / sur véhicule à moteur
11,2019 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2019 Q2,Vol de véhicule à moteur
7,2019 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2019 Q3,Introduction
7,2019 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2019 Q3,Méfait
7,2019 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2019 Q3,Vol dans / sur véhicule à moteur
10,2019 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2019 Q4,Introduction
10,2019 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2019 Q4,Méfait
10,2019 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2019 Q4,Vol dans / sur véhicule à moteur
12,2020 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,9,2020 Q1,Introduction
12,2020 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2020 Q1,Méfait
12,2020 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,9,2020 Q1,Vol dans / sur véhicule à moteur
12,2020 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2020 Q1,Vol de véhicule à moteur
14,2020 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2020 Q2,Introduction
14,2020 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2020 Q2,Méfait
14,2020 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2020 Q2,Vol dans / sur véhicule à moteur
14,2020 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2020 Q2,Vol de véhicule à moteur
14,2020 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2020 Q2,Vols qualifiés
15,2020 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,6,2020 Q3,Introduction
15,2020 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2020 Q3,Méfait
15,2020 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,6,2020 Q3,Vol dans / sur véhicule à moteur
15,2020 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2020 Q3,Vols qualifiés
6,2020 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,6,2020 Q4,Introduction
6,2020 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2020 Q4,Méfait
6,2020 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2020 Q4,Vol dans / sur véhicule à moteur
6,2020 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2020 Q4,Vol de véhicule à moteur
6,2020 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2020 Q4,Vols qualifiés
9,2021 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,5,2021 Q1,Introduction
9,2021 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2021 Q1,Méfait
9,2021 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2021 Q1,Vol dans / sur véhicule à moteur
13,2021 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2021 Q2,Introduction
13,2021 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2021 Q2,Méfait
13,2021 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2021 Q2,Vol dans / sur véhicule à moteur
15,2021 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2021 Q3,Infractions entrainant la mort
15,2021 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2021 Q3,Introduction
15,2021 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2021 Q3,Méfait
15,2021 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2021 Q3,Vol dans / sur véhicule à moteur
15,2021 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,8,2021 Q3,Vol de véhicule à moteur
15,2021 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2021 Q4,Introduction
15,2021 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2021 Q4,Méfait
15,2021 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2021 Q4,Vol dans / sur véhicule à moteur
15,2021 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2021 Q4,Vol de véhicule à moteur
10,2022 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2022 Q1,Introduction
10,2022 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2022 Q1,Méfait
10,2022 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2022 Q1,Vol de véhicule à moteur
6,2022 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2022 Q2,Introduction
6,2022 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2022 Q2,Méfait
6,2022 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2022 Q2,Vol dans / sur véhicule à moteur
6,2022 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2022 Q2,Vol de véhicule à moteur
16,2015 Q1,Caserne 03 Grid1_0,Caserne 03 Grid1_0,7,2015 Q1,Introduction
16,2015 Q1,Caserne 03 Grid1_0,Caserne 03 Grid1_0,5,2015 Q1,Vol dans / sur véhicule à moteur
16,2015 Q1,Caserne 03 Grid1_0,Caserne 03 Grid1_0,2,2015 Q1,Vol de véhicule à moteur
16,2015 Q1,Caserne 03 Grid1_0,Caserne 03 Grid1_0,2,2015 Q1,Vols qualifiés
27,2015 Q2,Caserne 03 Grid1_0,Caserne 03 Grid1_0,6,2015 Q2,Introduction
27,2015 Q2,Caserne 03 Grid1_0,Caserne 03 Grid1_0,3,2015 Q2,Méfait
27,2015 Q2,Caserne 03 Grid1_0,Caserne 03 Grid1_0,7,2015 Q2,Vol dans / sur véhicule à moteur
27,2015 Q2,Caserne 03 Grid1_0,Caserne 03 Grid1_0,5,2015 Q2,Vols qualifiés
18,2015 Q3,Caserne 03 Grid1_0,Caserne 03 Grid1_0,4,2015 Q3,Introduction
18,2015 Q3,Caserne 03 Grid1_0,Caserne 03 Grid1_0,2,2015 Q3,Méfait
18,2015 Q3,Caserne 03 Grid1_0,Caserne 03 Grid1_0,6,2015 Q3,Vol dans / sur véhicule à moteur
18,2015 Q3,Caserne 03 Grid1_0,Caserne 03 Grid1_0,1,2015 Q3,Vol de véhicule à moteur
18,2015 Q3,Caserne 03 Grid1_0,Caserne 03 Grid1_0,2,2015 Q3,Vols qualifiés
16,2015 Q4,Caserne 03 Grid1_0,Caserne 03 Grid1_0,2,2015 Q4,Introduction
16,2015 Q4,Caserne 03 Grid1_0,Caserne 03 Grid1_0,1,2015 Q4,Méfait
16,2015 Q4,Caserne 03 Grid1_0,Caserne 03 Grid1_0,4,2015 Q4,Vol dans / sur véhicule à moteur
15,2016 Q1,Caserne 03 Grid1_0,Caserne 03 Grid1_0,1,2016 Q1,Méfait
15,2016 Q1,Caserne 03 Grid1_0,Caserne 03 Grid1_0,2,2016 Q1,Vol dans / sur véhicule à moteur
15,2016 Q1,Caserne 03 Grid1_0,Caserne 03 Grid1_0,1,2016 Q1,Vols qualifiés
23,2016 Q2,Caserne 03 Grid1_0,Caserne 03 Grid1_0,10,2016 Q2,Introduction
23,2016 Q2,Caserne 03 Grid1_0,Caserne 03 Grid1_0,2,2016 Q2,Méfait
23,2016 Q2,Caserne 03 Grid1_0,Caserne 03 Grid1_0,1,2016 Q2,Vol dans / sur véhicule à moteur
23,2016 Q2,Caserne 03 Grid1_0,Caserne 03 Grid1_0,1,2016 Q2,Vols qualifiés
27,2016 Q3,Caserne 03 Grid1_0,Caserne 03 Grid1_0,8,2016 Q3,Introduction
27,2016 Q3,Caserne 03 Grid1_0,Caserne 03 Grid1_0,2,2016 Q3,Méfait
27,2016 Q3,Caserne 03 Grid1_0,Caserne 03 Grid1_0,2,2016 Q3,Vol dans / sur véhicule à moteur
14,2016 Q4,Caserne 03 Grid1_0,Caserne 03 Grid1_0,5,2016 Q4,Introduction
14,2016 Q4,Caserne 03 Grid1_0,Caserne 03 Grid1_0,3,2016 Q4,Méfait
14,2016 Q4,Caserne 03 Grid1_0,Caserne 03 Grid1_0,3,2016 Q4,Vol dans / sur véhicule à moteur
14,2016 Q4,Caserne 03 Grid1_0,Caserne 03 Grid1_0,2,2016 Q4,Vol de véhicule à moteur
14,2016 Q4,Caserne 03 Grid1_0,Caserne 03 Grid1_0,1,2016 Q4,Vols qualifiés
17,2017 Q1,Caserne 03 Grid1_0,Caserne 03 Grid1_0,6,2017 Q1,Introduction
17,2017 Q1,Caserne 03 Grid1_0,Caserne 03 Grid1_0,1,2017 Q1,Méfait
17,2017 Q1,Caserne 03 Grid1_0,Caserne 03 Grid1_0,3,2017 Q1,Vol dans / sur véhicule à moteur
17,2017 Q1,Caserne 03 Grid1_0,Caserne 03 Grid1_0,1,2017 Q1,Vol de véhicule à moteur
25,2017 Q2,Caserne 03 Grid1_0,Caserne 03 Grid1_0,7,2017 Q2,Introduction
25,2017 Q2,Caserne 03 Grid1_0,Caserne 03 Grid1_0,1,2017 Q2,Vol dans / sur véhicule à moteur
13,2017 Q3,Caserne 03 Grid1_0,Caserne 03 Grid1_0,6,2017 Q3,Introduction
13,2017 Q3,Caserne 03 Grid1_0,Caserne 03 Grid1_0,3,2017 Q3,Méfait
13,2017 Q3,Caserne 03 Grid1_0,Caserne 03 Grid1_0,1,2017 Q3,Vol dans / sur véhicule à moteur
13,2017 Q3,Caserne 03 Grid1_0,Caserne 03 Grid1_0,1,2017 Q3,Vol de véhicule à moteur
25,2017 Q4,Caserne 03 Grid1_0,Caserne 03 Grid1_0,6,2017 Q4,Introduction
25,2017 Q4,Caserne 03 Grid1_0,Caserne 03 Grid1_0,4,2017 Q4,Méfait
25,2017 Q4,Caserne 03 Grid1_0,Caserne 03 Grid1_0,10,2017 Q4,Vol dans / sur véhicule à moteur
25,2017 Q4,Caserne 03 Grid1_0,Caserne 03 Grid1_0,2,2017 Q4,Vol de véhicule à moteur
25,2017 Q4,Caserne 03 Grid1_0,Caserne 03 Grid1_0,1,2017 Q4,Vols qualifiés
20,2018 Q1,Caserne 03 Grid1_0,Caserne 03 Grid1_0,7,2018 Q1,Introduction
20,2018 Q1,Caserne 03 Grid1_0,Caserne 03 Grid1_0,3,2018 Q1,Méfait
