Key,Count,quarter
Caserne 04 Grid3_0,6,2017 Q1
Caserne 04 Grid3_0,5,2017 Q2
Caserne 04 Grid3_0,13,2017 Q3
Caserne 04 Grid3_0,19,2017 Q4
Caserne 04 Grid3_0,10,2018 Q1
Caserne 04 Grid3_0,5,2018 Q2
Caserne 04 Grid3_0,5,2018 Q3
Caserne 04 Grid3_0,8,2018 Q4
Caserne 04 Grid3_0,8,2019 Q1
Caserne 04 Grid3_0,11,2019 Q2
Caserne 04 Grid3_0,8,2019 Q3
Caserne 04 Grid3_0,7,2019 Q4
Caserne 04 Grid3_0,11,2020 Q1
Caserne 04 Grid3_0,4,2020 Q2
Caserne 04 Grid3_0,9,2020 Q3
Caserne 04 Grid3_0,19,2020 Q4
Caserne 04 Grid3_0,8,2021 Q1
Caserne 04 Grid3_0,1,2021 Q2
Caserne 04 Grid3_0,11,2021 Q3
Caserne 04 Grid3_0,9,2021 Q4
Caserne 04 Grid3_0,7,2022 Q1
Caserne 04 Grid3_0,6,2022 Q2
Caserne 04 Grid3_1,25,2015 Q1
Caserne 04 Grid3_1,18,2015 Q2
Caserne 04 Grid3_1,19,2015 Q3
Caserne 04 Grid3_1,25,2015 Q4
Caserne 04 Grid3_1,25,2016 Q1
Caserne 04 Grid3_1,30,2016 Q2
Caserne 04 Grid3_1,22,2016 Q3
Caserne 04 Grid3_1,23,2016 Q4
Caserne 04 Grid3_1,20,2017 Q1
Caserne 04 Grid3_1,13,2017 Q2
Caserne 04 Grid3_1,16,2017 Q3
Caserne 04 Grid3_1,22,2017 Q4
Caserne 04 Grid3_1,14,2018 Q1
Caserne 04 Grid3_1,24,2018 Q2
Caserne 04 Grid3_1,22,2018 Q3
Caserne 04 Grid3_1,12,2018 Q4
Caserne 04 Grid3_1,13,2019 Q1
Caserne 04 Grid3_1,9,2019 Q2
Caserne 04 Grid3_1,15,2019 Q3
Caserne 04 Grid3_1,17,2019 Q4
Caserne 04 Grid3_1,24,2020 Q1
Caserne 04 Grid3_1,15,2020 Q2
Caserne 04 Grid3_1,19,2020 Q3
Caserne 04 Grid3_1,25,2020 Q4
Caserne 04 Grid3_1,24,2021 Q1
Caserne 04 Grid3_1,15,2021 Q2
Caserne 04 Grid3_1,17,2021 Q3
Caserne 04 Grid3_1,19,2021 Q4
Caserne 04 Grid3_1,13,2022 Q1
Caserne 04 Grid3_1,12,2022 Q2
Caserne 04 Grid3_2,13,2015 Q1
Caserne 04 Grid3_2,13,2015 Q2
Caserne 04 Grid3_2,20,2015 Q3
Caserne 04 Grid3_2,21,2015 Q4
Caserne 04 Grid3_2,16,2016 Q1
Caserne 04 Grid3_2,16,2016 Q2
Caserne 04 Grid3_2,17,2016 Q3
Caserne 04 Grid3_2,20,2016 Q4
Caserne 04 Grid3_2,12,2017 Q1
Caserne 04 Grid3_2,22,2017 Q2
Caserne 04 Grid3_2,12,2017 Q3
Caserne 04 Grid3_2,21,2017 Q4
Caserne 04 Grid3_2,8,2018 Q1
Caserne 04 Grid3_2,19,2018 Q2
Caserne 04 Grid3_2,21,2018 Q3
Caserne 04 Grid3_2,10,2018 Q4
Caserne 04 Grid3_2,9,2019 Q1
Caserne 04 Grid3_2,19,2019 Q2
Caserne 04 Grid3_2,5,2019 Q3
Caserne 04 Grid3_2,11,2019 Q4
Caserne 04 Grid3_2,17,2020 Q1
Caserne 04 Grid3_2,8,2020 Q2
Caserne 04 Grid3_2,14,2020 Q3
Caserne 04 Grid3_2,13,2020 Q4
Caserne 04 Grid3_2,15,2021 Q1
Caserne 04 Grid3_2,17,2021 Q2
Caserne 04 Grid3_2,30,2021 Q3
Caserne 04 Grid3_2,22,2021 Q4
Caserne 04 Grid3_2,20,2022 Q1
Caserne 04 Grid3_2,14,2022 Q2
Caserne 04 Grid4_1,3,2015 Q1
Caserne 04 Grid4_1,2,2015 Q2
Caserne 04 Grid4_1,1,2015 Q3
Caserne 04 Grid4_1,5,2015 Q4
Caserne 04 Grid4_1,5,2016 Q1
Caserne 04 Grid4_1,2,2016 Q2
Caserne 04 Grid4_1,2,2016 Q3
Caserne 04 Grid4_1,6,2016 Q4
Caserne 04 Grid4_1,1,2017 Q1
Caserne 04 Grid4_1,1,2017 Q3
Caserne 04 Grid4_1,2,2017 Q4
Caserne 04 Grid4_1,1,2018 Q1
Caserne 04 Grid4_1,2,2018 Q3
Caserne 04 Grid4_1,1,2018 Q4
Caserne 04 Grid4_1,1,2019 Q2
Caserne 04 Grid4_1,2,2019 Q4
Caserne 04 Grid4_1,1,2020 Q1
Caserne 04 Grid4_1,2,2020 Q3
Caserne 04 Grid4_1,1,2021 Q1
Caserne 04 Grid4_1,2,2021 Q2
Caserne 04 Grid4_1,2,2021 Q3
Caserne 04 Grid4_1,3,2021 Q4
Caserne 04 Grid4_1,2,2022 Q1
Caserne 04 Grid4_1,3,2022 Q2
Caserne 05 Grid0_0,33,2015 Q1
Caserne 05 Grid0_0,49,2015 Q2
Caserne 05 Grid0_0,47,2015 Q3
Caserne 05 Grid0_0,53,2015 Q4
Caserne 05 Grid0_0,33,2016 Q1
Caserne 05 Grid0_0,39,2016 Q2
Caserne 05 Grid0_0,56,2016 Q3
Caserne 05 Grid0_0,61,2016 Q4
Caserne 05 Grid0_0,50,2017 Q1
Caserne 05 Grid0_0,75,2017 Q2
Caserne 05 Grid0_0,63,2017 Q3
Caserne 05 Grid0_0,46,2017 Q4
Caserne 05 Grid0_0,48,2018 Q1
Caserne 05 Grid0_0,35,2018 Q2
Caserne 05 Grid0_0,58,2018 Q3
Caserne 05 Grid0_0,43,2018 Q4
Caserne 05 Grid0_0,48,2019 Q1
Caserne 05 Grid0_0,47,2019 Q2
Caserne 05 Grid0_0,55,2019 Q3
Caserne 05 Grid0_0,37,2019 Q4
Caserne 05 Grid0_0,34,2020 Q1
Caserne 05 Grid0_0,37,2020 Q2
Caserne 05 Grid0_0,63,2020 Q3
Caserne 05 Grid0_0,41,2020 Q4
Caserne 05 Grid0_0,39,2021 Q1
Caserne 05 Grid0_0,48,2021 Q2
Caserne 05 Grid0_0,56,2021 Q3
Caserne 05 Grid0_0,52,2021 Q4
Caserne 05 Grid0_0,51,2022 Q1
Caserne 05 Grid0_0,47,2022 Q2
Caserne 05 Grid0_1,69,2015 Q1
Caserne 05 Grid0_1,68,2015 Q2
Caserne 05 Grid0_1,56,2015 Q3
Caserne 05 Grid0_1,61,2015 Q4
Caserne 05 Grid0_1,72,2016 Q1
Caserne 05 Grid0_1,81,2016 Q2
Caserne 05 Grid0_1,86,2016 Q3
Caserne 05 Grid0_1,76,2016 Q4
Caserne 05 Grid0_1,62,2017 Q1
Caserne 05 Grid0_1,96,2017 Q2
Caserne 05 Grid0_1,55,2017 Q3
Caserne 05 Grid0_1,75,2017 Q4
Caserne 05 Grid0_1,82,2018 Q1
Caserne 05 Grid0_1,63,2018 Q2
Caserne 05 Grid0_1,88,2018 Q3
Caserne 05 Grid0_1,124,2018 Q4
Caserne 05 Grid0_1,72,2019 Q1
Caserne 05 Grid0_1,42,2019 Q2
Caserne 05 Grid0_1,65,2019 Q3
Caserne 05 Grid0_1,72,2019 Q4
Caserne 05 Grid0_1,78,2020 Q1
Caserne 05 Grid0_1,80,2020 Q2
Caserne 05 Grid0_1,77,2020 Q3
Caserne 05 Grid0_1,57,2020 Q4
Caserne 05 Grid0_1,52,2021 Q1
Caserne 05 Grid0_1,53,2021 Q2
Caserne 05 Grid0_1,92,2021 Q3
Caserne 05 Grid0_1,82,2021 Q4
Caserne 05 Grid0_1,89,2022 Q1
Caserne 05 Grid0_1,80,2022 Q2
Caserne 05 Grid0_2,3,2015 Q1
Caserne 05 Grid0_2,2,2015 Q2
Caserne 05 Grid0_2,6,2015 Q3
Caserne 05 Grid0_2,9,2015 Q4
Caserne 05 Grid0_2,4,2016 Q1
Caserne 05 Grid0_2,4,2016 Q2
Caserne 05 Grid0_2,1,2016 Q3
Caserne 05 Grid0_2,3,2016 Q4
