NOM_CAS_AD,NO_CAS_ADM,OBJECTID,AreaSqKm,CentroidX,CentroidY,GridName,Key,GEO_UID,DA_NAME,Population,Pop__Densi,Appart_in_,Income___T,Income___2,Income___3,Housing___,Education_,DAUID,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661462,1462,483,14907.4,110,425,100,68.2,295,410,24661462,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620217.00,0217.00,24660109
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661468,1468,616,8863.3,0,520,100,83.8,310,495,24661468,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620247.00,0247.00,24660098
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661469,1469,462,14171.8,0,405,100,78.9,240,395,24661469,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620247.00,0247.00,24660098
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661467,1467,717,10199.1,0,455,100,80.4,295,470,24661467,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620213.00,0213.00,24660098
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661470,1470,372,13007,0,320,100,83,195,345,24661470,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620247.00,0247.00,24660098
Caserne 59,59,301,12.062398,-73.908775,45.458547,Grid0_0,Caserne 59 Grid0_0,24663077,3077,968,282.5,0,775,100,69.6,355,685,24663077,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620515.01,0515.01,24660243
Caserne 41,41,303,2.481931,-73.629413,45.531477,Grid0_0,Caserne 41 Grid0_0,24663351,3351,0,0,,,,,,,24663351,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620268.03,0268.03,24660121
Caserne 41,41,303,2.481931,-73.629413,45.531477,Grid0_0,Caserne 41 Grid0_0,24661563,1563,716,18218.8,0,580,100,60.2,265,580,24661563,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620223.01,0223.01,24660123
Caserne 41,41,303,2.481931,-73.629413,45.531477,Grid0_0,Caserne 41 Grid0_0,24661564,1564,908,32313.2,40,730,100,57.7,390,790,24661564,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620223.01,0223.01,24660123
Caserne 41,41,303,2.481931,-73.629413,45.531477,Grid0_0,Caserne 41 Grid0_0,24661561,1561,346,25255.5,0,265,100,59.3,105,230,24661561,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620223.01,0223.01,24660123
Caserne 41,41,303,2.481931,-73.629413,45.531477,Grid0_0,Caserne 41 Grid0_0,24661562,1562,513,29653.2,0,425,100,59.2,180,395,24661562,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620223.01,0223.01,24660123
Caserne 41,41,303,2.481931,-73.629413,45.531477,Grid0_0,Caserne 41 Grid0_0,24661616,1616,639,27903.9,5,480,100,58.4,240,500,24661616,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620223.01,0223.01,24660123
Caserne 41,41,303,2.481931,-73.629413,45.531477,Grid0_0,Caserne 41 Grid0_0,24661615,1615,761,32801.7,0,625,100,54.9,280,565,24661615,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620223.01,0223.01,24660123
